         3860705 function calls (3859292 primitive calls) in 4.617 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       93    2.239    0.024    2.239    0.024 {pandas._libs.tslib.ints_to_pydatetime}
        1    0.622    0.622    4.609    4.609 clearsky_temperature.py:14(get_clearsky_tamb)
   920074    0.408    0.000    0.764    0.000 {method 'utcoffset' of 'datetime.datetime' objects}
   921536    0.357    0.000    0.357    0.000 tzinfo.py:382(utcoffset)
   920075    0.219    0.000    2.458    0.000 datetimes.py:1162(__iter__)
   920074    0.185    0.000    0.185    0.000 {method 'total_seconds' of 'datetime.timedelta' objects}
        4    0.098    0.025    0.098    0.025 {pandas._libs.tslib.get_date_field}
        6    0.038    0.006    0.038    0.006 {pandas._libs.tslib.tz_convert}
  585/561    0.031    0.000    0.031    0.000 {numpy.core.multiarray.array}
        1    0.026    0.026    0.026    0.026 clearsky_temperature.py:132(_get_temperature)
        3    0.025    0.008    0.025    0.008 {numpy.core.multiarray.interp}
       88    0.019    0.000    0.019    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.017    0.017    0.017    0.017 {method 'get_indexer' of 'pandas._libs.index.DatetimeEngine' objects}
        2    0.015    0.008    0.015    0.008 {pandas._libs.algos.take_2d_axis1_float64_float64}
        3    0.015    0.005    0.052    0.017 missing.py:113(interpolate_1d)
       74    0.014    0.000    0.023    0.000 dataset.py:389(__getitem__)
       28    0.012    0.000    0.013    0.000 {pandas._libs.tslib.format_array_from_datetime}
        1    0.011    0.011    0.026    0.026 base.py:2649(_get_nearest_indexer)
        3    0.011    0.004    0.065    0.022 shape_base.py:23(apply_along_axis)
       49    0.008    0.000    0.009    0.000 missing.py:119(_isnull_ndarraylike)
        1    0.008    0.008    4.617    4.617 <string>:1(<module>)
    27456    0.006    0.000    0.009    0.000 {isinstance}
      102    0.006    0.000    0.006    0.000 {numpy.core.multiarray.arange}
        5    0.006    0.001    0.006    0.001 {pandas._libs.tslib.unique_deltas}
     1501    0.006    0.000    0.014    0.000 printing.py:186(as_escaped_unicode)
        1    0.005    0.005    0.005    0.005 {method 'get_backfill_indexer' of 'pandas._libs.index.DatetimeEngine' objects}
     1581    0.005    0.000    0.009    0.000 format.py:2244(just)
        1    0.004    0.004    0.004    0.004 {method 'get_pad_indexer' of 'pandas._libs.index.DatetimeEngine' objects}
        1    0.004    0.004    0.004    0.004 {pandas._libs.algos.take_2d_axis0_int64_int64}
     1501    0.004    0.000    0.022    0.000 printing.py:157(pprint_thing)
        2    0.004    0.002    0.004    0.002 function_base.py:4689(delete)
      370    0.004    0.000    0.004    0.000 dataset.py:209(shape)
       82    0.003    0.000    0.003    0.000 {method 'fill' of 'numpy.ndarray' objects}
       65    0.003    0.000    0.003    0.000 {pandas._libs.algos.ensure_int64}
        1    0.003    0.003    0.003    0.003 {operator.div}
     4900    0.003    0.000    0.011    0.000 __init__.py:282(strlen)
     4916    0.003    0.000    0.003    0.000 {_codecs.utf_8_decode}
     4900    0.003    0.000    0.014    0.000 format.py:287(len)
      295    0.003    0.000    0.003    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       10    0.003    0.000    0.003    0.000 {abs}
     1440    0.003    0.000    0.006    0.000 arrayprint.py:381(wrapper)
